"","x"
"1","AEGIS"
"2","AMORPHOUS"
"3","ANTICIPATORY"
"4","APPERTAINING"
"5","ASSIMILATE"
"6","ASSIMILATING"
"7","ASSIMILATION"
"8","BIFURCATED"
"9","BIFURCATION"
"10","CESSIONS"
"11","COGNIZABLE"
"12","CONCOMITANT"
"13","CORRELATIVE"
"14","DECONSOLIDATION"
"15","DELINEATION"
"16","DEMONSTRABLE"
"17","DEMONSTRABLY"
"18","DERECOGNIZED"
"19","DERECOGNIZES"
"20","DERIVATIVELY"
"21","EFFECTUATE"
"22","EFFECTUATED"
"23","EFFECTUATES"
"24","EFFECTUATING"
"25","EFFECTUATION"
"26","EFFICACIOUS"
"27","EFFICACY"
"28","EXIGENT"
"29","EXPEDITIOUSLY"
"30","EXTANT"
"31","FURTHERMORE"
"32","GERMANE"
"33","HOWSOEVER"
"34","IMPOST"
"35","IMPOSTS"
"36","IMPUTATION"
"37","IMPUTED"
"38","INVESTIGATORY"
"39","MANDATORILY"
"40","NONETHELESS"
"41","OBVIATE"
"42","PLENARY"
"43","PREPONDERANCE"
"44","PRESUMPTIVE"
"45","PROPAGATION"
"46","PROSCRIBE"
"47","PUTATIVE"
"48","RECHARACTERIZATION"
"49","REDETERMINATION"
"50","REDETERMINED"
"51","STRATUM"
"52","SUPERANNUATION"
"53","THESES"
"54","UBIQUITOUS"
"55","WHERESOEVER"
"56","WHILST"
