"","x"
"1","ABEYANCE"
"2","ABEYANCES"
"3","ALMOST"
"4","ALTERATION"
"5","ALTERATIONS"
"6","AMBIGUITIES"
"7","AMBIGUITY"
"8","AMBIGUOUS"
"9","ANOMALIES"
"10","ANOMALOUS"
"11","ANOMALOUSLY"
"12","ANOMALY"
"13","ANTICIPATE"
"14","ANTICIPATED"
"15","ANTICIPATES"
"16","ANTICIPATING"
"17","ANTICIPATION"
"18","ANTICIPATIONS"
"19","APPARENT"
"20","APPARENTLY"
"21","APPEAR"
"22","APPEARED"
"23","APPEARING"
"24","APPEARS"
"25","APPROXIMATE"
"26","APPROXIMATED"
"27","APPROXIMATELY"
"28","APPROXIMATES"
"29","APPROXIMATING"
"30","APPROXIMATION"
"31","APPROXIMATIONS"
"32","ARBITRARILY"
"33","ARBITRARINESS"
"34","ARBITRARY"
"35","ASSUME"
"36","ASSUMED"
"37","ASSUMES"
"38","ASSUMING"
"39","ASSUMPTION"
"40","ASSUMPTIONS"
"41","BELIEVE"
"42","BELIEVED"
"43","BELIEVES"
"44","BELIEVING"
"45","CAUTIOUS"
"46","CAUTIOUSLY"
"47","CAUTIOUSNESS"
"48","CLARIFICATION"
"49","CLARIFICATIONS"
"50","CONCEIVABLE"
"51","CONCEIVABLY"
"52","CONDITIONAL"
"53","CONDITIONALLY"
"54","CONFUSES"
"55","CONFUSING"
"56","CONFUSINGLY"
"57","CONFUSION"
"58","CONTINGENCIES"
"59","CONTINGENCY"
"60","CONTINGENT"
"61","CONTINGENTLY"
"62","CONTINGENTS"
"63","COULD"
"64","CROSSROAD"
"65","CROSSROADS"
"66","DEPEND"
"67","DEPENDED"
"68","DEPENDENCE"
"69","DEPENDENCIES"
"70","DEPENDENCY"
"71","DEPENDENT"
"72","DEPENDING"
"73","DEPENDS"
"74","DESTABILIZING"
"75","DEVIATE"
"76","DEVIATED"
"77","DEVIATES"
"78","DEVIATING"
"79","DEVIATION"
"80","DEVIATIONS"
"81","DIFFER"
"82","DIFFERED"
"83","DIFFERING"
"84","DIFFERS"
"85","DOUBT"
"86","DOUBTED"
"87","DOUBTFUL"
"88","DOUBTS"
"89","EXPOSURE"
"90","EXPOSURES"
"91","FLUCTUATE"
"92","FLUCTUATED"
"93","FLUCTUATES"
"94","FLUCTUATING"
"95","FLUCTUATION"
"96","FLUCTUATIONS"
"97","HIDDEN"
"98","HINGES"
"99","IMPRECISE"
"100","IMPRECISION"
"101","IMPRECISIONS"
"102","IMPROBABILITY"
"103","IMPROBABLE"
"104","INCOMPLETENESS"
"105","INDEFINITE"
"106","INDEFINITELY"
"107","INDEFINITENESS"
"108","INDETERMINABLE"
"109","INDETERMINATE"
"110","INEXACT"
"111","INEXACTNESS"
"112","INSTABILITIES"
"113","INSTABILITY"
"114","INTANGIBLE"
"115","INTANGIBLES"
"116","LIKELIHOOD"
"117","MAY"
"118","MAYBE"
"119","MIGHT"
"120","NEARLY"
"121","NONASSESSABLE"
"122","OCCASIONALLY"
"123","ORDINARILY"
"124","PENDING"
"125","PERHAPS"
"126","POSSIBILITIES"
"127","POSSIBILITY"
"128","POSSIBLE"
"129","POSSIBLY"
"130","PRECAUTION"
"131","PRECAUTIONARY"
"132","PRECAUTIONS"
"133","PREDICT"
"134","PREDICTABILITY"
"135","PREDICTED"
"136","PREDICTING"
"137","PREDICTION"
"138","PREDICTIONS"
"139","PREDICTIVE"
"140","PREDICTOR"
"141","PREDICTORS"
"142","PREDICTS"
"143","PRELIMINARILY"
"144","PRELIMINARY"
"145","PRESUMABLY"
"146","PRESUME"
"147","PRESUMED"
"148","PRESUMES"
"149","PRESUMING"
"150","PRESUMPTION"
"151","PRESUMPTIONS"
"152","PROBABILISTIC"
"153","PROBABILITIES"
"154","PROBABILITY"
"155","PROBABLE"
"156","PROBABLY"
"157","RANDOM"
"158","RANDOMIZE"
"159","RANDOMIZED"
"160","RANDOMIZES"
"161","RANDOMIZING"
"162","RANDOMLY"
"163","RANDOMNESS"
"164","REASSESS"
"165","REASSESSED"
"166","REASSESSES"
"167","REASSESSING"
"168","REASSESSMENT"
"169","REASSESSMENTS"
"170","RECALCULATE"
"171","RECALCULATED"
"172","RECALCULATES"
"173","RECALCULATING"
"174","RECALCULATION"
"175","RECALCULATIONS"
"176","RECONSIDER"
"177","RECONSIDERED"
"178","RECONSIDERING"
"179","RECONSIDERS"
"180","REEXAMINATION"
"181","REEXAMINE"
"182","REEXAMINING"
"183","REINTERPRET"
"184","REINTERPRETATION"
"185","REINTERPRETATIONS"
"186","REINTERPRETED"
"187","REINTERPRETING"
"188","REINTERPRETS"
"189","REVISE"
"190","REVISED"
"191","RISK"
"192","RISKED"
"193","RISKIER"
"194","RISKIEST"
"195","RISKINESS"
"196","RISKING"
"197","RISKS"
"198","RISKY"
"199","ROUGHLY"
"200","RUMORS"
"201","SEEMS"
"202","SELDOM"
"203","SELDOMLY"
"204","SOMETIME"
"205","SOMETIMES"
"206","SOMEWHAT"
"207","SOMEWHERE"
"208","SPECULATE"
"209","SPECULATED"
"210","SPECULATES"
